DiseaseName,Link,GeneSymbol
A,1,BYSL
A,1,TMEM79
A,1,WARS
A,1,TYMP
A,1,SLC43A3
A,1,DNAAF5
A,1,LAG3
A,1,GADD45GIP1
A,1,CEP104
A,1,NFATC2IP
A,1,RRP9
A,1,WIZ
A,1,PYCR1
A,1,POLD1
A,1,DOK1
A,1,ABCF2
A,1,CEACAM1
A,1,GPANK1
A,1,MKS1
A,1,ZNF346
A,1,DHX9
A,1,ING1
A,1,SNAPC3
A,1,ZGPAT
A,1,CYP4B1
A,1,ELP5
A,1,ZNF473
A,1,ZNF268
A,1,KLHL41
A,1,CELF5
B,1,PRKAG2-AS1
B,1,FLJ45513///TAC4
B,1,KBTBD7
B,1,FAM84A
B,1,KIAA1549
B,1,PPP4R4
B,1,ZNHIT2
B,1,CRIPT
B,1,MRPL15
B,1,NR2F2
B,1,CEACAM1
B,1,CLN6
B,1,CALCB
B,1,ATP5G3
B,1,ARHGEF28
B,1,B3GNTL1
B,1,SDHAF1
B,1,HS6ST2
B,1,TMC5
B,1,MCM5
B,1,GFM1
B,1,TTTY8B///TTTY8
B,1,KRT7
B,1,SMAD4
B,1,SAC3D1
B,1,WDR12
B,1,TYMP
B,1,TRUB2
B,1,ELP5
B,1,RBBP9
B,1,NOP16
B,1,KRTAP4-11
B,1,UBE2M
B,1,MRPS26
B,1,SMARCA4
B,1,GLB1L2
B,1,SIX3
B,1,GBP4
C,1,DNPH1
C,1,WDR18
C,1,NOP16
C,1,THSD4
C,1,METTL26
C,1,CENPV
C,1,CBS
C,1,KRT18
C,1,TRIB3
C,1,PGK1
C,1,QSER1
C,1,LIF
D,1,ITGB2
D,1,ACTN1
D,1,GK
D,1,TP53
D,1,MED12
D,1,SLC10A3
D,1,RARA
D,1,CDK4
D,1,IL2RG
D,1,HMGA1
D,1,GM2A
D,1,GSTP1
D,1,SLC25A11
D,1,ME2
E,1,MYL6B
E,1,LUM
E,1,TUSC3
E,1,TPSAB1
E,1,PTN
E,1,C11orf24
E,1,LPCAT1
E,1,JMJD4
E,1,TPGS2
E,1,LOC100996782///MED18
E,1,DLGAP1
E,1,SCD
E,1,UBD///GABBR1
E,1,KLRC2///KLRC1
F,1,AKR1C3
F,1,AQP4
F,1,LRRN3
F,1,C1orf168
F,1,FAM219B
F,1,HMOX2
F,1,CYP4B1
F,1,C11orf54
F,1,NDUFAF1
F,1,MSR1
F,1,ACSM3
F,1,NDUFAF4
F,1,PECAM1
F,1,MANEA
F,1,CISD1
F,1,SLC25A12
F,1,ZNF382
F,1,TMEM182
