Age,Gender,Family,Study duration,Family income,Job holder,Politics,profession,confidence,QA,X1,X2,X3,Rm,X4,X5,X6,Ri,X7,X8,X9,X10,X11,Rd,Readiness,X12,X13,X14,X15,Lp,X16,X17,X18,X19,Ls,X20,X21,X22,Lo,X23,X24,La,Lack_Information,X25,X26,X27,Lu,X28,X29,X30,X31,X32,Li,X33,X34,Le,Inconsistent,tenscales
16,1,1,10,10000,2,2,1,8,7,8,7,9,24,8,6,1,15,9,8,6,9,2,25, 21.33 ,1,9,4,8,21,7,9,5,8,29,4,5,9,18,8,7,15,20.75,8,7,9,24,7,9,9,6,7,38,9,9,18, 26.67 ,22.7
16,2,1,10,10000,1,2,1,8,9,5,5,7,17,7,8,9,24,9,9,8,9,9,35, 25.33 ,8,6,5,5,16,8,4,5,6,23,5,1,7,13,7,7,14,16.5,5,5,3,13,6,6,8,8,5,33,6,5,11, 19.00 ,19.9
16,2,1,10,15000,2,2,1,8,5,4,6,4,14,3,9,2,14,8,7,1,1,9,18, 15.33 ,1,3,2,1,6,2,2,1,6,11,9,2,9,20,9,2,11,12,9,9,2,20,8,6,3,4,7,28,7,6,13, 20.33 ,15.5
16,2,1,10,15000,1,2,1,8,5,8,6,2,16,3,9,2,14,8,7,1,1,9,18, 16.00 ,1,2,1,1,4,1,8,1,5,15,9,5,9,23,9,2,11,13.25,1,6,9,16,9,1,9,1,5,25,9,8,17, 19.33 ,15.9
16,2,1,10,15000,2,2,1,8,5,4,6,2,12,3,9,2,14,8,6,1,1,8,16, 14.00 ,2,3,1,1,5,2,7,1,1,11,8,8,4,20,2,2,4,10,6,4,4,14,9,1,8,1,5,24,8,6,14, 17.33 ,13.4
16,2,1,10,10000,1,2,1,7,5,8,5,4,17,3,9,2,14,8,9,2,2,1,14, 15.00 ,6,2,2,1,5,2,2,1,2,7,4,4,6,14,5,5,10,9,7,4,5,16,2,6,3,3,4,18,7,6,13, 15.67 ,12.8
16,2,1,10,10000,2,2,1,7,5,8,7,4,19,3,9,2,14,8,9,1,2,1,13, 15.33 ,7,2,2,1,5,2,2,1,2,7,3,4,7,14,5,8,13,9.75,8,4,4,16,1,9,7,6,4,27,7,6,13, 18.67 ,14.1
16,2,1,10,9000,1,2,1,8,8,5,9,9,23,5,8,3,16,9,7,9,9,8,33, 24.00 ,5,3,7,3,13,5,9,3,9,26,4,2,9,15,5,7,12,16.5,9,6,8,23,6,6,5,9,3,29,8,5,13, 21.67 ,20.3
16,2,1,10,9000,1,2,1,8,9,5,5,7,17,7,8,9,24,9,9,8,9,9,35, 25.33 ,7,6,5,5,16,5,4,5,6,20,6,1,7,14,7,7,14,16,5,5,3,13,6,6,8,8,5,33,6,5,11, 19.00 ,19.7
16,1,1,10,10000,2,2,1,7,7,7,8,9,24,8,8,1,17,9,9,9,9,7,34, 25.00 ,8,9,5,9,23,9,5,8,9,31,9,7,9,25,5,7,12,22.75,4,9,9,22,9,9,9,9,9,45,9,8,17, 28.00 ,25
