DieaseName,Link,GeneSymbol
B,1,TGFB1I1
B,1,HIBADH
B,1,YME1L1
B,1,CYBB
B,1,VIM
B,1,GSN
B,1,CSGALNACT1
B,1,MLH3
B,1,CD44
B,1,RBL1
B,1,SMAD4
B,1,GATA4
B,1,WHAMMP2///WHAMMP3
B,1,CDKAL1
B,1,MYLK
B,1,PPA2
B,1,RGS1
B,1,ELL2
B,1,DOK7
B,1,ITPKB
B,1,DSE
B,1,ARSG
B,1,LRRC70///IPO11
B,1,DLEU2
B,1,DNAJC27
B,1,SOCS3
B,1,ARID2
B,1,LCP2
B,1,CLASP2
B,1,EHD4
B,1,ANKUB1
B,1,MYL12A
B,1,SFMBT2
B,1,TCTE3
B,1,ABCC3
B,1,XIST
B,1,LRRFIP1
B,1,NAIP
B,1,MAST2
B,1,UROC1
B,1,PHLDB2
B,1,PRKRA
B,1,UTRN
B,1,IL6ST
B,1,LOC100507472///PCSK6
B,1,MFAP3L
B,1,RNU6-501P
B,1,FBXO32
B,1,EDRF1
B,1,PDCD4-AS1
B,1,HECTD4
B,1,NAP1L4
B,1,MEX3C
B,1,HIST1H4H
B,1,CBY1
B,1,NID1
B,1,CCDC88C
B,1,MYBL1
B,1,GLIS3
B,1,CLCN4
B,1,IFNGR1
B,1,ADAMTS12
B,1,VTI1A
B,1,ART1
B,1,KALRN
B,1,EBF1
B,1,STON2
B,1,FBXL20
B,1,SLC9A8
B,1,DOCK9
B,1,ERICH1
B,1,DOCK1
B,1,MAPT-AS1
B,1,ANXA2R
B,1,ELAVL4
B,1,CLDN23
B,1,HFE
B,1,ZNF532
B,1,ATG16L1
B,1,HIPK1
B,1,UVSSA
B,1,NFIB
B,1,LEPROT///LEPR
B,1,FCN1
B,1,AREG
B,1,IKZF4
B,1,ETV6
B,1,LOC100288637///ARHGAP11B
