x,x,x
PKP1,FOS,AP5B1
SLC12A3,FOSB,SERTAD1
MEP1A,EGR1,MIR6883///PER1
KRT33B,BYSL,NFKBIA
ALK,ANKRD13D,ZNF672
CDH1,VPS18,KDM4B
CBX5,ZNF589,LINC00339
FABP6,STAB1,ZBTB24
CHIC1,PARP12,PAFAH1B3
FHL3,SNORA28,SRRM2
TNXB,TBC1D10B,DUSP5
PPFIA1,KLF4,ASB13
CCDC85B,JUP,SSH1
FOLR1,43165,SERTAD3
TF,VPS9D1,CH25H
CALCOCO2,SCO2,LOC643549///PCIF1
SRM,TMEM79,NAPRT
BMPR2,RRP12,DNPH1
PLP1,PKD1,MEGF8
MAPK6,MOV10,MSC
HTR2B,GNAL,MIR6732///ZC3H12A
PPARD,TIPRL,TCF25
SPP2,WARS,NR4A1
COL16A1,CPT1B,HPD
MIR452///MIR224///GABRE,XRN2,WDR18
APOC3,UVSSA,NRIP3
TACR3,MIR21,AHNAK
MAGEA6///MAGEA3,TYMP,CDC42EP2
SLC19A1,RASSF1,CSRNP1
TNXB///ATF6B,HECTD2,C15orf39
ANK3,EIF3B,ANKRD11
C4BPA,CRIPAK,RHOB
CYP3A4,ABCA7,DUSP2
GLRA1,SNORD14A,JUNB
GTPBP1,TCF7L2,BLVRB
RNASE1,RUNX1-IT1,TMED4
MBP,LOC154449,IER2
LOC101928269///LOC100506403///RUNX1,KLHL17,LOC100506248///MIR1244-2///MIR1244-3///MIR1244-1///LOC728026///PTMA
GSE1,TNFAIP2,BDKRB1
PRG4,SLC25A29,CD320
LPAR4,PCYT2,JUND
RAB35,REC8,SLC7A1
FOLH1B///FOLH1,DUSP1,LOC101929761
VAMP1,FAM224B,RABGEF1
P2RY6,STAT1,GPC6
ARFIP1,PTPRM,SOCS3
DDX6,TMEM51,SFRP1
PDE6H,SRC,FMNL2
GYPE,FAM20C,JMJD6
LOC101929829///CYP2D6///CYP2D7,NR4A2,TBL1X
GSTZ1,TRIM51,CHI3L1
PEA15,GDPD5,MIR6836///SNX8
GPLD1,SEMA6D,BDH1
AOC3,C2CD2L,P3H2
RELN,SMC1A,RGMA
PNN,GRIPAP1,NOP16
CYP3A7-CYP3A51P///CYP3A7,GDPD3,EPHA4
DBT,SLC43A3,SMOX
PSME3,OPN1MW2,DYNC1H1
CAMP,XAF1,KLF13
CR1,WDR63,SIK1
CALB1,FAAH2,PCDH10
MIR4485,PDE11A,UBN1
PTHLH,C2orf82,EP400
FCGR2A,SLC7A6OS,THSD4
GAD2,LINC01252,FMO1
CCNB1,SLC26A4-AS1,KLF2
GPSM2,PTGIR,CAMK2N1
IL15,PPY,METTL26
RBL1,ZG16B,BHLHE40
UCP3,RPRD2,CENPV
TM4SF4,SPTBN4,RAB20
ENPEP,CREB5,CXCL1
PRKCZ,RPA4,KLF10
PDCD2,SPECC1,SLCO2A1
IMPA1,ARHGAP22,GFPT2
HSD11B1,NFIX,THBD
CNP,NOTCH4,DHRS13
PDLIM1,TMPRSS9,MAFF
SLX1B-SULT1A4///SLX1A-SULT1A3///SULT1A4///SULT1A3,LAMP3,GSTO2
BNIP1,TMTC1,ATF3
MRPL28,CORO2B,MYO10
OPCML,SNORA3B,EGR3
HIST2H4B///HIST4H4///HIST2H4A///HIST1H4L///HIST1H4E///HIST1H4B///HIST1H4H///HIST1H4C///HIST1H4J///HIST1H4K///HIST1H4F///HIST1H4D///HIST1H4A///HIST1H4I,CXCL8,RARRES1
FDFT1,CISH,DUSP1
ASMT,UHRF1,ATF5
ZNF185,USP16,GLIS3
CD226,HIST1H4E,AP3D1
IFNG,LOC100131635,NFIC
NAAA,SEC31B,HES1
SF3B3,POU2F2,ST3GAL1
PGGT1B,EGR2,RAB33A
CREM,LOC286254,GSTT2
PAFAH1B1,OASL,SH3BP5
GNG11,SNORD15A,LUZP1
PHOX2B,SIRT5,SPHK1
CCNE1,MED15,ETV5
KEL,EGFL6,NAV1
CD7,P2RX1,FOXC1
OR1D2,GAA,ICAM1
IDS,TTR,CBS
MYL2,TMEM229B,EFEMP1
CCL23,EIF2AK2,SNAI1
DHX38,WFDC10A,PAX8-AS1
FOXF2,TMEM127,KRT18
DMD,MAGEA9B,S100A6
IRF5,MAGEA3,CD44
NR4A1,PPP2R5B,BCL9L
QDPR,SNCB,ANKRD20A5P
TACR2,XDH,EMILIN2
IL7R,DNAAF5,C3
XRCC4,LAG3,SERPINA1
SLC39A9,UNCX,PKIB
PIK3R3,ADCY4,NR4A2
GABRA1,RHBDD3,TRIB3
HMGN2,C1orf159,PSG9
PPP3CA,HMBOX1,NUTF2P4///NUTF2
GFAP,BBS5,GRIN3A
ENO2,CD244,NOVA1
CTSE,EFEMP2,THRAP3
MAGEA9B///MAGEA9,ANKRD52,MRPL43
SPAG11A///SPAG11B,COMMD5,PGK1
ATR,CHD3,LINC01139
MTR,ADAM5,MAF
KRT32,NLRP7,GRTP1
KCNJ10,GADD45GIP1,SPATC1L
SRD5A1,UAP1L1,TMEM159
RGS16,GPM6A,DAB1
NUBP1,SNORD99,TP53TG3B///TP53TG3D///TP53TG3C///TP53TG3
EFNB3,TSPOAP1,TSTD1
TIGD1,FAM187B,LSS
SLC25A16,QPRT,GAL
CEACAM4,MAGEB1,ID1
UBC,AOC3,CCDC80
GNAQ,CEP104,TRIB1
BAD,LETM1,NR4A3
SLC10A2,LINC00689,QSER1
KIF2C,MRPL2,NFKBIZ
BTN2A1,VWA5B2,LIF
LOC101930404///SNORD116-28///SNORD115-26///SNORD115-13///SNORD115-7///SNORD116-22///SNORD116-4///PWARSN///SNORD107///SNRPN///IPW,SLC17A5,LZTS1
GGA3,SLITRK4,RASD1
LRRD1///CYP51A1,LBH,TK1
MPP3,STAB2,TMEM30B
KRT16,LINC01391,FAM43A
CSRP3,GPR17,NTN1
CSE1L,TTLL6,PCDHB2
TMEM115,NFATC2IP,SST
HERC2P2,MCM8,MYH10
GUCY2C,SLC38A7,MT1M
TTYH2,C17orf105,DNAH10
FGF4,TBC1D22A,RAB12
ONECUT1,SNORD125,PNP
BCL2L1,RRP9,LOC101929122
MEN1,HTT,
ZNF134,IFI6,
S100A2,MGAT5,
RXRG,WIZ,
GPC1,GTF2I,
CHAF1A,GUSBP11,
TUBA1A,PYCR1,
ACVR1B,OSBP2,
SPINK1,KPNA5,
TBX2,ISG15,
HTN3,VAPA,
AOX1,CLEC7A,
ETV4,SNORD116-13,
TXK,MIR526A2,
THPO,PEX5L,
PXN,ADAM30,
IER2,CLUH,
MKRN3,HLA-DRB6,
ENOX2,ACVR1B,
DNAJC7,LMO1,
MEP1B,MIR548N,
CYP1A2,IER2,
TEF,SNORD83B,
LOC101927137///ATP1A3,CCDC149,
ZBTB14,TFPI2,
GLMN,C4orf22,
CHD8,CXCL14,
PLAUR,SGTA,
ENTPD1,PAQR7,
FAM155A,FAM26E,
PPIL2,FAM134C,
CRIP1,SLC2A11,
GRB2,ARHGAP27,
QSOX1,SPATA31A7,
ERVK-19///ERVK-9///ERVK-4,U2AF1L4,
HIST1H2BD,POLD1,
DLG4,CDC42BPB,
ARNTL,MAMDC4,
GPR22,C19orf45,
DCC,PDZK1IP1,
PTPN9,ATG12,
ARL4A,ROBO3,
SCRIB,GLP2R,
P2RY10,MAPK7,
LIG4,CRNN,
ITGA8,MFF,
KCNMA1,HMGN5,
CPA3,SERPIND1,
SMARCB1,ABCD1,
GLRA2,SAPCD2,
ESR2,CLDN23,
HOXB3,CPS1,
KLK3,GRAP,
POLD1,DOK1,
BYSL,CHRNA10,
TMED10P1,USP32,
EXOC5,SFRP4,
HCG8///ZNRD1ASP,SPATA5,
RFC2,ABCF2,
